"Priority
Rank",Field #,Field Name,Business Name,Business Definition,"Valid Values 
(Note:  The values provided are examples only and may not be a complete list of values)","Field
Type",Length,"Start 
Pos","End 
Pos","Digits if 
numeric","Decimals if 
numeric",NCPDP D.0 Field #,NCPDP D.0 Field Name,NCPDP D.0 Field Description
1,397,CLMORIGIN,Claim Origination Flag,The code that indicates how the claim was sent to Prime. ,"B = Batch loaded                        
C = Trial-API/DUR MSG,SKIP DEDUCTIBLE   
E = Trial-API/SKIP DUR, DEDUCTIBLE      
G = Trial-API/SKIP DEDUCTIBLE           
H = Batch Trial Mass Amendment          
I = Batch Mass Amendment Update         
J = Manual Single Amendment Update      
K = Batch Loaded/Excl Payment           
M = Manually keyed                      
N = Trial-Batch-RxACT/DUR               
O = Trial-Batch-RxACT/SKPDUR           
P = Retro-Active Eligiblity Reprocess  
Q = Trial-Batch-RxACT/DURMSG           
S = CMS State-To Plan Recon            
T = Electronic transaction             
V = Trial-Manual-RxACT/DUR             
W = Trial-Manual-RxACT/SKPMSG          
X = Trial-Manual-RxACT/DURMSG          
1 = Trial-Batch                        
3 = Trial-Batch/DUR MSG ONLY           
2 = Trial-Batch/SKIP DUR               
4 = Trial-Manual                       
5 = Trial-Manual/SKIP DUR              
6 = Trial-Manual/DUR MSG ONLY          
7 = Trial-API                          
8 = Trial-API/SKIP DUR          
9 = Trial-API/DUR MSG ONLY      
",A,1,3282,3282,0,0,,,
5,398,HLDCLMFLAG,Hold Claim Flag,Field is not currently used. ,Contains only spaces to ensure the field is blank.,A,1,3283,3283,0,0,,,
5,399,HLDCLMDAYS,Hold Claim Days,Field is not currently used. ,Contains only zeroes. ,N,3,3284,3286,3,0,,,
5,400,DTEINJURY,Submitted Date of Injury,Field is not currently used. ,Contains only zeroes. ,N,8,3287,3294,8,0,,,
4,401,ADDUSER,Add System User ID,"The identifier of the Prime employee who entered the claim in the claims processing system. 

For electronic claims, this field displays a default system identifier. ",,A,10,3295,3304,0,0,,,
4,402,CHGUSER,"Change System User ID

","The identifier of the Prime employee who updated the claim on the claims processing system. 

For electronic claims, this field displays a default system identifier. ",,A,10,3305,3314,0,0,,,
4,403,DMRUSERID,Direct Member Reimbursement (DMR) System User ID,"The identifier of the Prime employee who entered the Direct Member Reimbursement (DMR) claim in the claims processing system. 

For electronic claims, this field displays a default system identifier. ",,A,10,3315,3324,0,0,,,
4,404,PRAUSERID,Add System User ID - Prior Authorization (PA),"The identifier of the Prime employee who entered the Prior Authorization (PA) on the claim in the claims processing system. 

For electronic prior authorizations, this field displays a default system identifier. ",,A,10,3325,3334,0,0,,,
3,405,CLAIMREFID,Claim Reference Identification Number for Workers' Compensation - Pharmacy Submitted,"The number assigned by Workers' Compensation to the claim, as submitted by the pharmacy. ",,A,30,3335,3364,0,0,435-DZ,Claim/Reference ID,Identifies the claim number assigned by Worker’s Compensation Program.
3,406,EOBDENOV,Explanation of Benefits (EOB) Denial Override Code,"The 3-digit code that identifies the reason that payment of the claim was denied, as stated on the Explanation of Benefits (EOB).",,A,3,3365,3367,0,0,,,
5,407,EOBPDOV,Explanation of Benefits (EOB) Paid Override Code,"Field is not currently used. 

",Contains only spaces to ensure the field is blank.,A,3,3368,3370,0,0,,,
3,408,MANTRKNBR,Manual Pharmacy Claim Tracking Number,A client-defined number used to track manual or paper claims for reporting purposes. ,,A,14,3371,3384,0,0,,,
3,409,MANRECVDTE,Manual Pharmacy Claim Received Date,The date that Prime received the manual or paper claim from the member to be processed.  ,Format = CCYYMMDD,N,8,3385,3392,8,0,,,
5,410,PASAUTHTYP,Submitted Prior Authorization (PA) Authorization Type,Field is not currently used. ,Contains only spaces to ensure the field is blank.,A,2,3393,3394,0,0,,,
5,411,PASAUTHID,Submitted Prior Authorization (PA) Segment Identifier (ID),Field is not currently used. ,Contains only spaces to ensure the field is blank.,A,11,3395,3405,0,0,,,
5,412,PASREQTYPE,Submitted Prior Authorization (PA) Request Type,Field is not currently used. ,Contains only spaces to ensure the field is blank.,A,1,3406,3406,0,0,,,
5,413,PASREQFROM,"Submitted Prior Authorization (PA) Start Date
",Field is not currently used. ,Contains only zeroes. ,N,8,3407,3414,8,0,,,
5,414,PASREQTHRU,Submitted Prior Authorization (PA) End Date,Field is not currently used. ,Contains only zeroes. ,N,8,3415,3422,8,0,,,
5,415,PASBASISRQ,Submitted Prior Authorization (PA) Basis of Request,Field is not currently used. ,Contains only spaces to ensure the field is blank.,A,2,3423,3424,0,0,,,
5,416,PASREPFN,Submitted Prior Authorization (PA) Member Representative First Name,Field is not currently used. ,Contains only spaces to ensure the field is blank.,A,12,3425,3436,0,0,,,
5,417,PASREPLN,Submitted Prior Authorization (PA) Member Representative Last Name,Field is not currently used. ,Contains only spaces to ensure the field is blank.,A,15,3437,3451,0,0,,,
5,418,PASSTREET,Submitted Prior Authorization (PA) Member Representative Street Address,Field is not currently used. ,Contains only spaces to ensure the field is blank.,A,30,3452,3481,0,0,,,
5,419,PASCITY,Submitted Prior Authorization (PA) Member Representative City,Field is not currently used. ,Contains only spaces to ensure the field is blank.,A,20,3482,3501,0,0,,,
5,420,PASSTATE,Submitted Prior Authorization (PA) Member Representative State,Field is not currently used. ,Contains only spaces to ensure the field is blank.,A,2,3502,3503,0,0,,,
5,421,PASZIP,Submitted Prior Authorization (PA) Member Representative Zip Code,Field is not currently used. ,Contains only spaces to ensure the field is blank.,A,15,3504,3518,0,0,,,
5,422,PASPANBR,Submitted Prior Authorization (PA)  Assigned Number,Field is not currently used. ,Contains only spaces to ensure the field is blank.,A,11,3519,3529,0,0,,,
5,423,PASAUTHNBR,Submitted Prior Authorization (PA) Transaction Number,Field is not currently used. ,Contains only spaces to ensure the field is blank.,A,20,3530,3549,0,0,,,
5,424,PASSDOCCT,Submitted Prior Authorization (PA) Supporting Documentation Line Count,Field is not currently used. ,Contains only zeroes. ,N,3,3550,3552,3,0,,,
5,425,CLIENTDEF1,Client Defined Field 1,Field is not currently used. ,Contains only spaces to ensure the field is blank.,A,10,3553,3562,0,0,,,
5,426,CLIENTDEF2,Client Defined Field 2,Field is not currently used. ,Contains only spaces to ensure the field is blank.,A,10,3563,3572,0,0,,,
5,427,CLIENTDEF3,Client Defined Field 3,Field is not currently used. ,Contains only spaces to ensure the field is blank.,A,10,3573,3582,0,0,,,
5,428,CLIENTDEF4,Client Defined Field 4,Field is not currently used. ,Contains only spaces to ensure the field is blank.,A,10,3583,3592,0,0,,,
5,429,CLIENTDEF5,Client Defined Field 5,Field is not currently used. ,Contains only spaces to ensure the field is blank.,A,10,3593,3602,0,0,,,
5,430.1,CCTRESERV1.1,Reserved Field 1.1,Field is not currently used. ,Contains only spaces to ensure the field is blank.,A,1,3603,3603,0,0,,,
3,430.2,CCTRESERV1.2,Health Insurance Market (HIM) Status,The code that indicates whether the claim is a Health Insurance Market (HIM) claim ,"blank = Not an HIM Claim
Y = HIM Claim ",A,1,3604,3604,0,0,,,
3,430.3,CCTRESERV1.3,Deliquency Handling Code,Indicates whether the Health Insurance Market claim is in the Deliquency Period,"blank = Not In Delinquency Period
G = In Delinquency Period - Approved Code 029    
R = In Delinquency Period - Reject Code 646",A,1,3605,3605,0,0,,,
3,430.4,CCTRESERV1.4,Deliquency Resolved Code,Indicates whether the Health Insurance Market claim in the Deliquency Period has been Resolved,"N = Not Resolved
Y = Yes, Resolved",A,1,3606,3606,0,0,,,
5,430.5,CCTRESERV1.5,Price Schedule Type,The price schedule type describes the kind of pharmacy contract that is supported by the price schedule.,"E = Extended Supply Network
H = Home Infusion
L = Long Term Care
M = Mail
R = Retail
S = Specialty",A,1,3607,3607,0,0,,,
5,430.6,CCTRESERV1.6,Secondary Claim Code,"The indicator describing whether Synchronized Claims Adjudication (SCA) is Medicare Part D or Other Health Insurance (OHI).

SCA is a Prime Therapeutics process used to handle a co-administered benefit through a single pharmacy claim, designed for Part D benefits such as Employer Group Waiver Plan (EGWP).  EGWP has Basic Part D coverage along with a Group based copay/coinsurance. CMS considers the EGWP to be providing defined standard coverage (basic Part D benefit) along with a co-administered Other Health Insurance (OHI) (copay or coinsurance tiers).  The pharmacy will submit to Prime based on the member ID card.

Prime's system will process a simple Part D claim, and then create a second claim (OHI) to determine the Group's additional benefit.  The final Patient Pay and Total Amount Due will be returned to the pharmacy as if it was a single claim.","1 = First SCA claim - Medicare Part D
2 = Second SCA claim - Other Health Insurance (OHI)",A,1,3608,3608,0,0,,,
5,430.7,CCTRESERV1.7,Reserved Field 1.7,Field is not currently used. ,Contains only spaces to ensure the field is blank.,A,1,3609,3609,0,0,,,
5,430.8,CCTRESERV1.8,Reserved Field 1.8,Field is not currently used. ,Contains only spaces to ensure the field is blank.,A,1,3610,3610,0,0,,,
5,430.9,CCTRESERV1.9,Plan Product Type,Indicates the high level Product Type categorization of the benefit plan,"B - Medicare Part B           
C - Commercial                
D - Medicare Part D           
H - Health Insurance Mktplace 
M - Medicaid                  ",A,1,3611,3611,0,0,,,
5,430.1,CCTRESERV1.10,Prorate Copay Indicator,"Indicates whether the claim copay was prorated.

Prorating a copay can occur if the drug is available for prorating, and the copay is considered a flat copay, and the days supply on the claim is less than the value of the Prorate Days Supply minus Compare Days field.","Y = claim copay was prorated 
N = claim copay was not prorated",A,1,3612,3612,0,0,,,
5,431,CCTRESERV2,Client Code,This code is used to identify the specific client which is defined as the organization that has an agreement with Prime for PBM or related services such as Mail Order or Rebate. This Client Code is created within Prime's Client and Member Master system (CAMM) and then loaded into RxCLAIM via automated feed.,,A,10,3613,3622,0,0,,,
5,432.1,CCTRESERV3.1,Formulary Tier,The Tier read from the preferred list on which the product was found at plan option 26 (Preferred Formulary).  Used to calculate member pay unless there was an override.,00 through 06,A,2,3623,3624,0,0,,,
5,432.2,CCTRESERV3.2,Formulary Tier-Final,"The Tier used to calculate member pay when the product's Formulary Tier was not used due to an override, such as a tier exception.

The Tier used to calculate member pay for a multiple ingredient compound. (Formulary Tier is always blank for a compound claim.)",00 through 06,A,2,3625,3626,0,0,,,
5,432.3,CCTRESERV3.3,Cost Share Code,The Cost Share Code read from the preferred list on which the product was found at plan option 26 (Preferred Formulary).  Used to calculate member pay unless there was an override.,Cost Share Codes,A,2,3627,3628,0,0,,,
5,432.4,CCTRESERV3.4,Cost Share Code-Final,"The Cost Share Code used to calculate member pay when the product's Formulary Cost Share Code was not used due to an override, such as a formulary exception.

The Cost Share Code used to calculate member pay for a multiple ingredient compound. (Formulary Cost Share Code is always blank for a compound claim.)",Cost Share Codes,A,2,3629,3630,0,0,,,
5,432.5,CCTRESERV3.5,Plan Sponsor Pricing Detail,For Employer Groups - indicates if the claim appears on the Plan Sponsor Pricing Detail Report.,"Blank = Claim is not on the Plan Sponsor Pricing Detail report
Y = Claim is on the Plan Sponsor Pricing Detail Report",A,1,3631,3631,0,0,,,
5,432.6,CCTRESERV3.6,Benefit Selection Cost Indicator,Indicates whether the claim was considered for Benefit Selection Cost penalty.,"Blank = Claim not considered for Benefit Selection Cost Penalty
Y = Yes",A,1,3632,3632,0,0,,,
5,433.1,CCTRESERV4.1,New Drug Application (NDA) Product Override,"Only in GAP phase or Catastrophic phases, the presence of this value is being considered to calculate the patient pay and Coverage Gap Discount for Member Medicare Part D claims. 

NOTE:  The New Drug Application (NDA) Flag can be found in Field # 40 (position 214) on the Supplemental MCEF.","Blank = Manufacturer Discount is NOT based on NDA status or NDA Product Override. 
0 = No forced the claim to NOT calculate Manufacturer Discount on the Drug.
1 = Yes forced the claim to calculate Manufacturer Discount on the Drug.",A,1,3633,3633,0,0,,,
5,433.2,CCTRESERV4.2,Biologic License Application (BLA) Flag,"Only in GAP phase or Catastrophic phases, the presence of this value is being considered to calculate the patient pay and Coverage Gap Discount for Member Medicare Part D claims. ","Blank = Manufacturer Discount is NOT based on BLA status or BLA Product Override.
0 = No forced the claim to NOT calculate Manufacturer Discount on the Drug.
1 = Yes forced the claim to calculate Manufacturer Discount on the Drug.",A,1,3634,3634,0,0,,,
5,433.3,CCTRESERV4.3,Biologic License Application (BLA) Override,"Only in GAP phase or Catastrophic phases, the presence of this value is being considered to calculate the patient pay and Coverage Gap Discount for Member Medicare Part D claims.","Blank = Manufacturer Discount is NOT based on BLA status or BLA Product Override.
0 = No forced the claim to NOT calculate Manufacturer Discount on the Drug.
1 = Yes forced the claim to calculate Manufacturer Discount on the Drug.",A,1,3635,3635,0,0,,,
5,433.4,CCTRESERV4.4,Applied Accumulator Records Indicator,Applied Accumulator Records exist in Applied Accum MCEF,"blank = No records for this claim
Y = records exist for this claim",A,1,3636,3636,0,0,,,
5,433.5,CCTRESERV4.5,Considered Met Accumulator Records Indicator,Considered Met Accumulator Records exist in Considered Met Accum MCEF,"blank = No records for this claim
Y = records exist for this claim",A,1,3637,3637,0,0,,,
5,433.6,CCTRESERV4.6,Drug Cost Reduction Extract Records Indicator,"Drug Cost Reduction Records exist and values may be available based on the claim adjudication in fields: Drug Cost Reduction Indicator, Alternative Drug Cost, and Drug Cost Percentage Applied","blank = No records for this claim
Y = records exist for this claim",A,1,3638,3638,0,0,,,
5,433.7,CCTRESERV4.7,Eligibility Redirect Indicator,"The Eligibility Redirect Indicator will be set when claim adjudication for an MAPD member is submitted to a member's Medicare Part D benefit initially, but redirected to adjudicate under that member's Medicare Part B benefit

*Note: This jump occurs based on the Eligibility Redirect Schedule.  Fields 64 & 65 (Bank Identification Number (BIN) - Submitted & Processor Control Number (PCN) - Submitted) will still contain the BIN & PCN of the Medicare Part D eligibility as submitted by the pharmacy when Indicator set to 'Y'.","blank = Claim processed under the member's Medicare Part D eligibility
Y = Claim jumped and processed under the member's Medicare Part B eligibility",A,1,3639,3639,0,0,,,
5,433.8,CCTRESERV4.8,Point of Sale Rebate Flag,A Point of Sale Rebate may have been considered during adjudication of the claim.,"blank = Point of Sale Rebate was not considered during adjudication of the claim
Y = Point of Sale Rebate was considered during adjudication of the claim ",A,1,3640,3640,0,0,,,
5,433.9,CCTRESERV4.9,Network Contract Type Code,"The Network Contract Type Code will be set when a rented pharmacy network was used during processing of a claim. 

Indicator may be present on paid, reversal of paid, captured, reversal of captured, and reject claim records.","blank = Claim processed on Prime's contracted network
E = Claim processed on Express Scripts (ESI) rented network",A,1,3641,3641,0,0,,,
5,433.1,CCTRESERV4.10,Patient Assistance Program Claim Designation Flag,"Flag will be set to a Y if the claim is identified as a SaveOn Claim, otherwise blank. A claim is identified as a SaveOn Claim if the Benefit Plan has the SaveOn Program attached and drug is on the SaveOn Drug List at the time the claim was adjudicated. ","Y or Blank
If Blank: Contains only spaces to ensure the field is blank.",A,1,3642,3642,0,0,,,
5,434.1,CCTRESERV5.1,Biosimilar Rating,"Only in GAP phase or Catastrophic phases, the presence of this value is being considered to calculate the patient pay and Generic Gap Reduction for Member Medicare Part D claims.","B = Biosimilar: Assign patient pay as Brand for LICS in all phases and Brand for non-LICS in Catastrophic phase.  Assign Generic Gap Reduction for non-LICS in Gap phase.                                            
I = Interchangeable: Do not treat as ""B=Biosimilar"" when determining patient pay in any phase.  Assign Generic Gap Reduction for non-LICS in Gap phase.
Blank = Not Applicable: Patient pay and Coverage Gap Discount/Generic Gap Reduction is NOT determined by Biosimilar Override.                                
NA = Not Available: Do not treat as ""B=Biosimilar"" when determining patient pay or Coverage Gap Discount/Generic Gap Reduction.                                                                 
NR = Not Rated: Do not treat as ""B=Biosimilar"" when determining patient pay or Coverage Gap Discount/Generic Gap Reduction.
RF = Reference: Do not treat as ""B=Biosimilar"" when determining patient pay or Coverage Gap Discount/Generic Gap Reduction.",A,5,3643,3647,0,0,,,
5,434.2,CCTRESERV5.2,Biosimilar Override,"Only in GAP phase or Catastrophic phases, the presence of this value is being considered to calculate the patient pay and Generic Gap Reduction for Member Medicare Part D claims.","B = Biosimilar: Assign patient pay as Brand for LICS in all phases and Brand for non-LICS in Catastrophic phase.  Assign Generic Gap Reduction for non-LICS in Gap phase.                                            
I = Interchangeable: Do not treat as ""B=Biosimilar"" when determining patient pay in any phase.  Assign Generic Gap Reduction for non-LICS in Gap phase.
Blank = Not Applicable: Patient pay and Coverage Gap Discount/Generic Gap Reduction is NOT determined by Biosimilar Override.                  
NA = Not Available: Do not treat as ""B=Biosimilar"" when determining patient pay or Coverage Gap Discount/Generic Gap Reduction, regardless of Biosimilar Rating value.                                                                 
NR = Not Rated: Do not treat as ""B=Biosimilar"" when determining patient pay or Coverage Gap Discount/Generic Gap Reduction, regardless of Biosimilar Rating value.                                                                       
RF = Reference: Do not treat as ""B=Biosimilar"" when determining patient pay or Coverage Gap Discount/Generic Gap Reduction, regardless of Biosimilar Rating value.  
",A,5,3648,3652,0,0,,,
5,435,USERFIELD,User Defined Field 1,Field is not currently used. ,Contains only spaces to ensure the field is blank.,A,10,3653,3662,0,0,,,
2,436,COPAYCAT,Low Income Cost-Sharing Subsidy (LICS) Copay Category Code,"The copay level to which the member is assigned as part of the Medicare Part D benefit.  Low Income Cost-Sharing Subsidy (LICS) is ""Extra Help"" for members who require financial assistance to pay for their prescriptions. The additional assistance is based on the members' household income and other resources. 
","0, 1, 2, 3, 4, 5 or blank
0 = standard (non subsidized)
1 = LICS I (i.e. $2/$6 copays)
2 = LICS II (i.e. $1/$3 copays)
3 = LICS Institutionalized ($0 copay)
4 = LICS III (i.e. 15% coinsurance) 
5 or blank = unknown (non subsidized)",A,1,3663,3663,0,0,,,
4,437,MEDTRMRSN,Medicare Termination Reason Code,Field is not currently used. ,Contains only spaces to ensure the field is blank.,A,4,3664,3667,0,0,,,
1,438,M7V3N2,Reimbursement Check Number,The number assigned to the check for reimbursement.  Field REIMBURSMT (#396) indicates whether the reimbursement is for the pharmacy or the member.  ,,N,9,3668,3676,9,0,,,
1,439,M7C2DT,Reimbursement Check Date,The date that the reimbursement check is generated.  Field REIMBURSMT (#396) indicates whether the reimbursement is for the pharmacy or the member. ,"Format CYYMMDD; 0 represents 1900's,  1 represents 2000's",N,7,3677,3683,7,0,,,
2,440,INTFLAG,Accumulator Integrated Flag,"The code indicating whether both medical and pharmacy claim dollars are counted toward combined benefit plan accumulator(s).  If any of the pharmacy benefit accumulators are shared with the medical benefit, even if the claim adjudicated with $0 Patient Pay, this field displays a “Y” based on the integrated accumulator set-up on the Benefit Plan.","Y = Dollars from medical and pharmacy claims are combined; one set of accumulator limits applies to both medical and pharmacy benefits.
N = Dollars from medical and pharmacy claims are not combined; accumulator limits are separately defined for medical and pharmacy benefits.
",A,1,3684,3684,0,0,,,
2,441,ABAQTX,Subscriber Last Name,"The subscriber's last name based on the eligibility file submitted by the client.

Note:  This subscriber is associated with the member on the claim. ",,A,25,3685,3709,0,0,,,
2,442,ABARTX,Subscriber First  Name,"The subscriber's first name based on the eligibility file submitted by the client.

Note:  This subscriber is associated with the member on the claim. ",,A,15,3710,3724,0,0,,,
2,443,ABASTX,Subscriber Middle Initial ,"The subscriber's middle initial based on the eligibility file submitted by the client.

Note:  This subscriber is associated with the member on the claim. ",,A,1,3725,3725,0,0,,,
2,444,ABAAST,Subscriber Gender Code,"The gender of the subscriber based on the eligibility file submitted by the client.

Note:  This subscriber is associated with the member on the claim. ","M = Male
F = Female",A,1,3726,3726,0,0,,,
2,445,ABAJDT,Subscriber Date of Birth ,"The date of birth of the subscriber based on the eligibility file submitted by the client.

Note:  This subscriber is associated with the member on the claim. ",YYYYMMDD,N,8,3727,3734,8,0,,,
2,446,ABA1TX,Subscriber Address Line 1,"The street address (line 1) of the subscriber based on the eligibility file submitted by the client.

Note:  This subscriber is associated with the member on the claim. ",,A,25,3735,3759,0,0,,,
2,447,ABA2TX,Subscriber Address Line 2,"The street address (line 2) of the subscriber based on the eligibility file submitted by the client.

Note:  This subscriber is associated with the member on the claim. ",,A,15,3760,3774,0,0,,,
2,448,ABAYTX,Subscriber City,"The city address of the subscriber based on the eligibility file submitted by the client.

Note:  This subscriber is associated with the member on the claim. ",,A,20,3775,3794,0,0,,,
2,449,ABAZTX,Subscriber State,"The two-character state abbreviation of the subscriber based on the eligibility file submitted by the client.

Note:  This subscriber is associated with the member on the claim. ",,A,2,3795,3796,0,0,,,
2,450,ABA0TX,Subscriber Zip,"The five-digit zip code of the subscriber based on the eligibility file submitted by the client. 

Note:  This subscriber is associated with the member on the claim. ",,A,5,3797,3801,0,0,,,
2,451,ABHKT1,Subscriber Zip Extension,"The four-digit zip code extension of the subscriber based on the eligibility file submitted by the client. 

Note:  This subscriber is associated with the member on the claim. ",,A,4,3802,3805,0,0,,,
4,452,AOB9TX,Pharmacy Address Line 1,The street address (line 1) of the pharmacy that dispensed the prescription for this claim.,,A,55,3806,3860,0,0,,,
4,453,AOCATX,Pharmacy City,The city address of the pharmacy that dispensed the prescription for this claim.,,A,30,3861,3890,0,0,,,
4,454,AOCCTX,Pharmacy State,The two-character state abbreviation of the pharmacy that dispensed the prescription for this claim.,,A,2,3891,3892,0,0,,,
4,455,AOAGNB,Pharmacy Phone,The telephone number of the pharmacy that dispensed the prescription for this claim.,,N,10,3893,3902,10,0,,,
4,456,AOZ6CD,Pharmacy Federal Tax ID,The federal tax identifier of the pharmacy that dispensed the prescription for this claim.,,A,15,3903,3917,0,0,,,
1,457,PHRTL,Total Amount Due to Pharmacy,"The total dollar amount that was due to the pharmacy as reimbursement for the prescription, regardless of who was responsible to pay, after all calculations have been applied to the claim.    

   PHRDUEAMT (#264)
+ PHRPATPAY (#263) 
+ PHROTHPAYA (#283)
- PHRINCENTV (#278)
- PHRPROFFEE (#282) 
__________________________
= Total Due Pharmacy",,S,10,3918,3927,10,2,,,
1,458,NPIPROV,Pharmacy ID - National Provider Identifier (NPI),A unique ID number assigned to the dispensing pharmacy by the  National Plan and Provider Enumeration System (NPPES).,,A,15,3928,3942,0,0,,,
1,459,PRVNCPDPID,Pharmacy ID - National Council for Prescription Drug Programs (NCPDP),A unique 7-digit number assigned by the National Council for Prescription Drug Programs (NCPDP) to the dispensing  pharmacy. ,,A,15,3943,3957,0,0,,,
1,460,AMWIHC,CMS Contract Identifier,The identifier that the Centers for Medicare and Medicaid Services (CMS) have assigned to the Medicare Part D plan sponsor. ,"Hxxxx - Identifies local MAs and MA-PDs.
Rxxxx - Identifies regional MAs and MA-PDs.
Sxxxx - Identifies PDPs.",A,5,3958,3962,0,0,,,
2,461,AMWJHC,CMS Plan Benefit Package (PBP) ID,The identifier that the Centers for Medicare and Medicaid Services (CMS) have assigned to the member's Medicare Part D plan benefit package. ,"0xx - Indicates individual plan.
8xx - Indicates Employer Group Waiver Plan.",A,3,3963,3965,0,0,,,
4,462,AMWKHC,Covered Plan Paid (CPP) TrOOP Schedule Code,The code that defines which Medicare Part D TrOOP schedule is used to calculate the Covered Plan Paid (CPP) amount for this claim.,Values are Prime-defined and used in Prime's claim processing system. ,A,10,3966,3975,0,0,,,
4,463,AMWLHC,Drug Coverage Status Schedule Code,The code that defines which Medicare Part D schedule is used to determine a CMS-recognized drug coverage status. CMS stands for the Centers for Medicare and Medicaid Services.,Values are Prime-defined and used in Prime's claim processing system. ,A,10,3976,3985,0,0,,,
1,464,AMO6H9,Drug Coverage Status Code,The CMS-recognized drug coverage status code determined by the Medicare Part D schedule from the AMWLHC field (#463).   CMS stands for the Centers for Medicare and Medicaid Services.,"The following values are the most commonly used  and are reported on the Prescription Drug Event (PDE): 

C = Covered drugs
E = Enhanced Alternative drugs  
O = Over-the-counter drugs",A,1,3986,3986,0,0,,,
3,465,AMR5HS,Medicare Part D Profile Sequence Number,The Medicare Part D Master Profile that was in effect when this claim was processed.,,N,5,3987,3991,5,0,,,
1,466,AMXFHX,Covered Plan Paid (CPP) Amount,"The dollar amount the plan paid for a covered Medicare Part D drug under the defined standard benefit. If the drug is not covered, then the value will be zero.  

The value displayed in this field depends on the code displayed in the Medicare Part D Drug Coverage Status Code field (AMO6H9 #464).",,S,9,3992,4000,9,2,,,
1,467,AMXGHX,Prior TrOOP Amount,The dollar amount the member has accumulated toward Medicare Part D True Out Of Pocket (TrOOP) prior to this claim.,,S,9,4001,4009,9,2,,,
1,468,AMDSPR,Submitted Other Payer Amount Paid,"The dollar amount that the primary payer contributed toward this prescription when Prime is a secondary payer.  This is used for Coordination of Benefits. 

Note:  This dollar amount does not count toward Medicare Part D True Out Of Pocket (TrOOP).",,S,9,4010,4018,9,2,,,
1,469,AMNFHY,Low Income Cost-Sharing Subsidy (LICS) Amount,"The dollar amount of the claim attributed to the Medicare Part D Low Income Cost-Sharing Subsidy (LICS). 

Low Income Cost-Sharing Subsidy (LICS) is ""Extra Help"" for members who require financial assistance to pay for their prescriptions. The additional assistance is based on the members' household income and other resources. ",,S,9,4019,4027,9,2,,,
4,470,AMW2HE,Low Income Cost-Sharing Subsidy (LICS) TrOOP Schedule Code,"The code that defines which Medicare Part D TrOOP schedule is used to calculate the Low Income Cost-Sharing Subsidy (LICS) copay for this claim.

Low Income Cost-Sharing Subsidy (LICS) is ""Extra Help"" for members who require financial assistance to pay for their prescriptions. The additional assistance is based on the members' household income and other resources. ",Values are Prime-defined and used in Prime's claim processing system. ,A,10,4028,4037,0,0,,,
4,471,AMBWHT,Low Income Cost-Sharing Subsidy (LICS) TrOOP Schedule Step Number,The sequence step number of the Low Income Cost-Sharing Subsidy (LICS) Medicare Part D TrOOP Schedule used during claim processing.,"For claims through 2009, this field may contain a value of 1, 2, or 3.  

For claims 2010 and later, this field contains a 0 even for LICS members.

Values are Prime-defined and used in Prime's claim processing system. ",N,2,4038,4039,2,0,,,
4,472,AMBXHT,Low Income Cost-Sharing Subsidy (LICS) TrOOP Schedule Step Count,The total number of steps in the Low Income Cost-Sharing Subsidy (LICS) Medicare Part D TrOOP Schedule.  ,"For claims through 2009, this field may contain a value of 1, 2, or 3.  

For claims 2010 and later, this field contains a 0 even for LICS members.

Values are Prime-defined and used in Prime's claim processing system. ",N,2,4040,4041,2,0,,,
1,473,AMNGHY,Deductible Level Drug Spend - Medicare Part D ,"The Medicare Part D Plan's deductible amount if the plan has a Deductible phase.  If there is no deductible for the plan, zero is displayed.

Drug Spend (not TrOOP) is used to determine the end of the Deductible phase.",,S,9,4042,4050,9,2,,,
1,474,AMNJHY,Amount Toward Medicare Part D Plan Deductible,The amount of this claim's drug spend that counts toward the member's Deductible phase in a Medicare Part D Plan.  ,,S,9,4051,4059,9,2,,,
4,475,AMOAHY,Deductible Level TrOOP Amount,"The TrOOP threshold amount for the Medicare Part D Deductible phase that a member must meet to qualify for Catastrophic coverage.

The Deductible Level Drug Spend field (AMNGHY #473) is used to determine the end of the Deductible phase.",,S,9,4060,4068,9,2,,,
4,476,AMNLHY,Plan Coverage Gap Drug Spend - Medicare Part D,"The drug spend amount representing the upper threshold for the Medicare Part D Coverage Gap phase to qualify for Catastrophic coverage.

The Medicare Part D Plan Catastrophic Amount field (AMNIHY #478) is used to determine the end of the Coverage Gap phase. ",,S,9,4069,4077,9,2,,,
2,477,AMN3HY,Amount Toward Medicare Part D Plan Coverage Gap,The dollar amount of this claim's drug spend that counts toward the member's Coverage Gap phase in a Medicare Part D plan.  ,,S,9,4078,4086,9,2,,,
1,478,AMNIHY,Plan TrOOP Catastrophic Amount,The TrOOP threshold amount a Medicare Part D member must meet to qualify for Catastrophic coverage.,,S,9,4087,4095,9,2,,,
3,479,AMN4HY,Plan Paid Amount Catastrophic,The dollar amount of this claim's drug spend paid by the plan during the Catastrophic Phase in a Medicare Part D plan. ,,S,9,4096,4104,9,2,,,
2,480,AMN5HY,Plan Initial Coverage Amount,"The dollar amount of the Medicare Part D member's drug spend before the member's initial coverage ends and the Coverage Gap begins, if a Coverage Gap applies to the plan.  This amount is in addition to the deductible. ",9999999.99 displays if there is no Coverage Gap for the plan,S,9,4105,4113,9,2,,,
